"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2337,1.946214,5,0,221,12
2220,0.463213,5,0,219,11
2221,0.329338,5,0,219,11
2217,0.641190,5,0,219,11
2219,0.388484,5,0,219,11
2212,0.128254,5,0,219,11
2194,0.275815,5,0,214,11
2189,0.479170,5,0,214,12
2191,0.303027,5,0,214,11
2198,0.202256,5,0,215,11
2192,0.197451,5,0,214,11
2272,0.638983,5,0,207,12
2175,0.127836,5,0,216,11
2148,0.118074,5,0,216,11
2141,0.153740,5,0,218,11
2140,0.123477,5,0,218,11
2274,0.657457,5,0,207,12
2273,0.802189,5,0,207,12
2197,0.240758,5,0,215,11
2202,0.213388,5,0,215,11
2201,0.591419,5,0,215,11
2199,0.707849,5,0,215,11
2200,0.299744,5,0,215,11
2280,0.212860,5,0,205,12
2278,0.517565,5,0,205,12
2281,0.250128,5,0,205,12
2279,0.202279,5,0,205,12
2271,0.381506,5,0,207,12
2296,0.732270,5,0,206,12
2834,0.480330,5,1,0,
2835,0.628181,5,1,0,
2107,0.210133,5,0,210,11
2236,0.280629,5,0,220,11
2369,4.643934,5,0,223,12
2383,4.741465,5,0,223,12
2269,2.459063,5,0,207,12
2186,0.636222,5,0,214,11
2188,0.272884,5,0,214,12
2187,0.414304,5,0,214,12
2267,0.759795,5,0,208,12
2258,1.777826,5,0,208,12
2265,2.646477,5,0,208,12
2264,1.019441,5,0,208,12
2263,1.073031,5,0,208,12
2246,0.282352,5,0,220,11
2336,0.568652,5,0,221,12
2338,3.280608,5,0,221,12
2235,0.297499,5,0,220,11
2230,0.420639,5,0,220,11
2301,0.217785,5,0,206,12
2299,0.632690,5,0,206,12
2260,0.734610,5,0,208,12
2261,1.692553,5,0,208,12
2262,1.526349,5,0,208,12
2268,1.310328,5,0,208,12
2300,0.351321,5,0,206,12
2257,0.641301,5,0,207,12
2259,0.846175,5,0,208,12
2255,1.711317,5,0,207,12
2270,2.032685,5,0,207,12
2297,1.073579,5,0,206,12
2294,0.461457,5,0,206,12
2283,7.292919,5,0,205,12
2298,0.311854,5,0,207,12
2256,0.594415,5,0,207,12
2085,0.907344,5,0,212,11
2166,0.287627,5,0,214,11
2312,0.167227,5,0,209,12
2311,0.371484,5,0,209,12
2109,0.403455,5,0,210,11
2079,0.391663,5,0,213,11
2069,0.171984,5,0,213,11
2070,0.145832,5,0,213,11
2093,0.368101,5,0,212,11
