"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
103,3,1,"01_SOV","University",2,159.5455494
104,1,1,"01_SOV","Work",2,19.215895965
104,2,1,"01_SOV","Work",2,20.05037895
105,1,1,"01_SOV","Work",2,424.46037186
106,1,1,"06_Walk-Local","Indi-Main",0,216.8135454
107,1,1,"02_HOV2","Indi-Main",2,34.287866025
107,1,2,"02_HOV2","Work",2,34.287866025
108,1,1,"01_SOV","Indi-Disc",2,304.917079491
109,2,1,"01_SOV","Work",2,178.0579234
109,3,1,"03_HOV3","School",2,212.0319314
110,1,1,"02_HOV2","Joint-Disc",2,860.560221465
110,2,1,"04_Walk","Indi-Disc",2,734.777166795
110,2,2,"01_SOV","Indi-Main",2,734.777166795
110,2,3,"02_HOV2","Joint-Disc",2,734.777166795
113,1,1,"01_SOV","Indi-Disc",2,521.894321809
113,1,2,"01_SOV","Indi-Main",2,521.894321809
113,1,3,"01_SOV","Indi-Main",2,521.894321809
113,2,1,"01_SOV","Indi-Main",2,430.108037918
113,2,2,"01_SOV","Indi-Main",2,430.108037918
114,1,1,"02_HOV2","Work",2,54.539316552
114,2,1,"02_HOV2","Indi-Main",2,64.982648188
114,2,2,"02_HOV2","Indi-Main",2,64.982648188
114,4,1,"15_Schoolbus","School",2,46.7223337
115,1,1,"02_HOV2","Joint-Main",2,45.4232338
115,2,1,"01_SOV","Work",2,48.170682
115,3,1,"02_HOV2","Joint-Main",2,40.4359426
116,1,1,"01_SOV","Work",2,56.124540768
116,3,1,"01_SOV","School",2,75.974885504
116,4,1,"15_Schoolbus","School",2,52.8902815
117,4,1,"04_Walk","School",2,211.4651264
119,1,1,"03_HOV3","Joint-Disc",2,19.414602585
119,2,1,"01_SOV","Indi-Main",2,21.729290283
119,2,2,"03_HOV3","Joint-Disc",2,21.729290283
120,1,1,"02_HOV2","Work",2,38.65602384
120,1,2,"02_HOV2","Indi-Main",2,38.65602384
120,2,1,"02_HOV2","Work",2,32.443631955
120,2,2,"02_HOV2","At-Work",2,32.443631955
121,2,1,"01_SOV","Indi-Disc",2,191.1288001
122,1,1,"01_SOV","Work",2,40.174016715
123,1,1,"01_SOV","Indi-Main",2,48.733779228
124,1,1,"02_HOV2","Work",2,250.646535615
124,2,1,"02_HOV2","Work",2,357.02411136
124,2,2,"02_HOV2","Indi-Disc",2,357.02411136
125,1,1,"01_SOV","Work",2,353.1850674
126,1,1,"02_HOV2","Indi-Main",2,26.68984668
126,1,2,"02_HOV2","Indi-Disc",2,26.68984668
127,1,1,"01_SOV","University",2,178.2320241
128,1,1,"02_HOV2","Joint-Disc",2,199.9767128
128,2,1,"01_SOV","Work",2,237.022456872
128,3,1,"02_HOV2","Joint-Disc",2,243.31645
129,1,1,"01_SOV","Work",2,187.86206728
129,3,1,"15_Schoolbus","School",2,177.0362389
129,4,1,"15_Schoolbus","School",2,177.0362389
130,1,1,"01_SOV","Indi-Main",2,496.228935405
130,1,2,"01_SOV","Indi-Main",2,496.228935405
131,1,1,"01_SOV","Indi-Main",2,76.436684808
131,2,1,"02_HOV2","Joint-Main",2,74.788334784
131,3,1,"02_HOV2","Joint-Main",2,69.4139849
132,1,1,"04_Walk","Indi-Disc",2,995.738702268
132,1,2,"02_HOV2","Indi-Main",2,995.738702268
132,1,3,"05_Bike","Indi-Disc",2,995.738702268
132,1,4,"02_HOV2","Indi-Disc",2,995.738702268
132,1,5,"01_SOV","Indi-Main",2,995.738702268
132,1,6,"04_Walk","Indi-Disc",2,995.738702268
133,1,1,"03_HOV3","Work",2,141.806864636
133,1,2,"03_HOV3","Indi-Disc",2,141.806864636
133,2,1,"01_SOV","Work",2,119.017148284
133,2,2,"02_HOV2","At-Work",2,119.017148284
133,3,1,"03_HOV3","School",2,101.9587202
133,3,2,"03_HOV3","Indi-Disc",2,101.9587202
133,4,1,"03_HOV3","Indi-Disc",2,101.9587202
133,4,2,"03_HOV3","Indi-Disc",2,101.9587202
134,1,1,"01_SOV","Work",2,258.786410048
134,2,1,"15_Schoolbus","School",2,340.7405006
135,1,1,"01_SOV","Work",2,20.05037895
135,2,1,"01_SOV","Work",2,30.63628281
135,2,2,"02_HOV2","At-Work",2,30.63628281
136,1,1,"01_SOV","Indi-Main",2,480.2797511
136,2,1,"01_SOV","Work",2,448.0146107
137,1,2,"02_HOV2","Joint-Main",2,630.6973138
137,1,3,"02_HOV2","Joint-Main",2,630.6973138
137,1,4,"02_HOV2","Indi-Disc",2,630.6973138
137,2,1,"02_HOV2","Joint-Main",2,509.8883486
137,2,2,"02_HOV2","Joint-Main",2,509.8883486
137,2,3,"02_HOV2","Indi-Disc",2,509.8883486
138,1,1,"04_Walk","Indi-Disc",2,82.5722194
139,1,1,"02_HOV2","Joint-Disc",2,87.686622135
139,1,2,"02_HOV2","Joint-Main",2,87.686622135
139,2,1,"02_HOV2","Joint-Disc",2,156.411040684
139,2,2,"02_HOV2","Joint-Main",2,156.411040684
140,1,1,"01_SOV","Indi-Main",2,822.2964519
140,1,2,"01_SOV","Indi-Main",2,822.2964519
141,1,1,"02_HOV2","Indi-Main",2,192.644836832
141,1,2,"05_Bike","Joint-Disc",2,192.644836832
141,2,1,"02_HOV2","Work",2,182.491169956
141,2,2,"03_HOV3","Indi-Main",2,182.491169956
141,2,3,"05_Bike","Joint-Disc",2,182.491169956
141,3,1,"02_HOV2","School",2,172.7188259
141,3,2,"03_HOV3","Indi-Main",2,172.7188259
141,3,3,"05_Bike","Joint-Disc",2,172.7188259
141,4,1,"15_Schoolbus","School",2,184.589115
141,4,2,"05_Bike","Joint-Disc",2,184.589115
142,1,1,"02_HOV2","Work",2,65.888189544
142,1,2,"01_SOV","Indi-Main",2,65.888189544
142,2,1,"02_HOV2","School",2,81.2012496
143,1,1,"01_SOV","Indi-Main",2,135.955631766
143,1,2,"01_SOV","Indi-Main",2,135.955631766
143,1,3,"01_SOV","Indi-Main",2,135.955631766
143,2,1,"01_SOV","Work",2,193.66698666
143,2,2,"01_SOV","At-Work",2,193.66698666
144,1,1,"01_SOV","Work",2,170.8780989
145,1,1,"01_SOV","Work",2,65.95365
145,1,2,"03_HOV3","At-Work",2,65.95365
145,2,1,"01_SOV","Work",2,64.531365675
145,2,2,"03_HOV3","At-Work",2,64.531365675
146,1,1,"01_SOV","Indi-Disc",2,166.8424013
147,1,1,"01_SOV","Work",2,92.001144308
147,2,1,"01_SOV","Work",2,66.5652436
148,1,1,"01_SOV","Work",2,96.63906524
148,2,1,"03_HOV3","Indi-Main",2,97.8875761
148,3,1,"03_HOV3","School",2,92.2138799
148,4,1,"03_HOV3","Indi-Main",2,89.6945042
148,5,1,"03_HOV3","Indi-Main",2,92.2138799
149,1,1,"06_Walk-Local","Indi-Main",1,233.3235337
149,2,1,"12_KNR-Local","Indi-Main",1,238.6413196
150,1,1,"02_HOV2","Joint-Main",2,32.6883375
150,1,2,"01_SOV","Indi-Main",2,32.6883375
150,2,1,"02_HOV2","Joint-Main",2,50.5257527
150,2,2,"01_SOV","Indi-Disc",2,50.5257527
150,2,3,"01_SOV","Indi-Main",2,50.5257527
151,1,1,"02_HOV2","Indi-Main",2,607.6955528
151,1,2,"02_HOV2","Indi-Disc",2,607.6955528
152,1,1,"01_SOV","Indi-Main",2,99.426848825
152,1,2,"01_SOV","Indi-Main",2,99.426848825
152,2,1,"01_SOV","Indi-Main",2,105.528448863
153,2,1,"01_SOV","Work",2,190.450428
154,1,1,"02_HOV2","Work",2,48.40464384
155,1,2,"01_SOV","Work",1,189.65885904
155,2,1,"03_HOV3","Indi-Main",1,183.588645135
156,1,1,"01_SOV","Indi-Disc",2,123.9016507
157,3,1,"01_SOV","Work",2,467.536017096
157,4,1,"04_Walk","School",2,327.9757602
158,1,1,"01_SOV","Work",2,118.764793455
158,2,1,"01_SOV","Work",2,132.995931075
159,1,1,"02_HOV2","Indi-Disc",2,94.073581093
159,1,2,"15_Schoolbus","Indi-Main",2,94.073581093
160,1,1,"01_SOV","Indi-Disc",2,80.9536042
160,1,2,"02_HOV2","Indi-Disc",2,80.9536042
160,2,1,"04_Walk","School",2,108.264175
160,2,2,"02_HOV2","Indi-Disc",2,108.264175
161,1,1,"01_SOV","Work",2,26.964491085
161,1,2,"01_SOV","Work",2,26.964491085
161,1,3,"01_SOV","Indi-Main",2,26.964491085
161,2,1,"01_SOV","Work",2,26.28992121
161,2,2,"01_SOV","At-Work",2,26.28992121
162,2,1,"01_SOV","Work",2,31.501774185
