id,purpose,freq_dep,freq_arr,freq_dur
21,univ,5709.037336,5245.082891,4415.48852
21,work,13978.20507,15070.2997,174131.2602
22,atwork,13951.0087,23056.95068,75.68419414
22,esc,11071.86294,2920.503295,2914.28943
22,idisc,20438.76101,18849.94195,7685.527905
22,imain,35545.11799,48863.27402,7220.413681
22,jdisc,1049.17637,2328.875953,0
22,jmain,9092.930662,7239.350696,363.2553097
22,sch,1028.380355,5171.474683,38219.06922
22,Total,116323.0334,130850.5997,206719.1718
22,univ,3805.686156,7876.226123,3201.74881
22,work,20340.10921,14544.00235,147039.1832
23,atwork,4534.913263,17431.72039,0
23,esc,23664.83974,3356.431517,464.5518738
23,idisc,16598.78135,21528.14976,9057.82022
23,imain,44520.24234,54698.45029,6110.63269
23,jdisc,1393.240746,1808.997725,71.83871993
23,jmain,3750.449236,5955.347632,0
23,sch,0,13723.02078,20528.36906
23,Total,115837.1559,138582.8291,149480.43
23,univ,4279.408093,7734.868754,1318.460887
23,work,17095.2811,12345.84224,111928.7565
24,atwork,5299.06769,10260.87969,0
24,esc,40354.82859,15965.97692,276.8423931
24,idisc,28412.33526,22432.81391,4674.763858
24,imain,38663.54389,54091.90971,6043.916975
24,jdisc,1411.712622,2700.637569,132.8115574
24,jmain,4625.540772,6336.190831,58.25355594
24,sch,1106.72215,68955.8841,21140.65988
24,Total,139674.2399,227986.6417,139360.706
24,univ,3634.170079,9609.510446,3120.772653
24,work,16166.31883,37632.83854,103912.6851
25,atwork,5384.826792,7926.560324,0
25,esc,51641.79847,32711.23998,422.997888
25,idisc,21361.58863,27979.04074,2954.052062
25,imain,40782.34422,57989.69134,3432.635949
25,jdisc,3461.885393,3331.882534,0
25,jmain,5403.524342,11901.80691,33.8593099
25,sch,944.3414418,108471.4531,14367.72644
25,Total,147675.69,302869.1903,102547.9545
25,univ,3364.407812,11692.31215,1297.727226
