"timebin","purpose","freq_stop","freq_trip"
29,"idisc",38375.2209032402,120208.014656809
3,"idisc",0,989.530724331
30,"idisc",35600.9489922875,156656.640506601
31,"idisc",47976.0827615761,158931.138620425
32,"idisc",38721.6905006701,145566.454705468
33,"idisc",27213.1466883545,120449.50467648
34,"idisc",31054.2688629303,126775.838148992
35,"idisc",30168.9763994702,125786.303469725
36,"idisc",27508.238628793,97133.0128014073
37,"idisc",18038.2269506273,72315.178445343
38,"idisc",10095.727361223,39035.038663518
39,"idisc",5673.32397669492,30626.8252448389
4,"idisc",120.6932498,1206.106396352
40,"idisc",4947.531817504,21267.865674482
41,"idisc",3605.5284759868,17511.1156635099
42,"idisc",4121.06176022892,9518.46509010992
43,"idisc",4425.47685907396,10879.320421159
44,"idisc",3105.295343462,3421.040918182
45,"idisc",597.356508042,4257.733494155
46,"idisc",2740.80814217742,5752.21779368542
47,"idisc",2031.5950233,3268.092296815
48,"idisc",2127.97342314,2171.99481884
49,"idisc",0,0
5,"idisc",74.935475035,5969.217917318
6,"idisc",1350.112298272,8231.073988298
7,"idisc",816.328999851,10714.582208409
8,"idisc",1830.269772919,19279.219843792
9,"idisc",4917.99974521768,38436.6584755429
1,"imain",0,173.1717063
10,"imain",11444.458309968,40017.200770965
11,"imain",17963.1685341204,85407.9778075584
12,"imain",24313.1733508406,96233.5584363143
13,"imain",45245.9874737431,137352.48172377
14,"imain",38744.2506187518,127789.775423157
15,"imain",49540.3391932543,161705.261565406
16,"imain",58682.1354874801,160310.876707962
17,"imain",53036.0338912738,168258.365896769
18,"imain",69067.1309256035,177804.835571577
19,"imain",62435.8278340534,167507.392534203
2,"imain",0,0
20,"imain",66044.0147563259,154388.423058454
21,"imain",67169.1061961722,176595.477777277
22,"imain",63113.6900748456,161042.290437846
23,"imain",66557.3193631277,157126.801831425
24,"imain",57188.2072882082,144939.83467847
25,"imain",63015.7273397239,160895.113998113
26,"imain",66181.7972111237,137665.883088122
27,"imain",51202.4713088538,137985.962849509
28,"imain",54136.1579984939,131448.845618401
29,"imain",33655.4149876239,113523.154803275
3,"imain",0,600.360036405
30,"imain",36698.9037119432,94909.888398555
31,"imain",32253.8439017632,89942.499756226
32,"imain",26354.651488149,78835.0067871309
33,"imain",23703.3620126709,75669.7326887329
34,"imain",27385.9553037728,66588.4020691398
35,"imain",15895.343674159,40050.641061968
36,"imain",12281.913955908,34839.382373809
37,"imain",4927.154513032,22184.25632717
38,"imain",3855.964746332,9164.201252334
39,"imain",2123.421486521,8527.100565369
4,"imain",0,1197.144069713
40,"imain",693.244088082,4068.178857123
