"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Livingston","Washtenaw","Auto 2 Person","Discretionary",438.925525125
"Washtenaw","Livingston","Auto 2 Person","Discretionary",552.048604945
"Livingston","Washtenaw","Auto SOV","Escort",661.832516509
"Washtenaw","Livingston","Auto 3+ Person","Escort",588.133781612
"Livingston","Washtenaw","Auto 3+ Person","Visiting",214.9193614
"Washtenaw","Livingston","Auto 3+ Person","Visiting",214.9193614
"Livingston","Washtenaw","Auto 3+ Person","School",1135.2903794
"Washtenaw","Livingston","Auto 3+ Person","School",951.2529222
"Wayne","Detroit","Auto SOV","Maintenance",16654.469198169
"Detroit","Wayne","Auto SOV","Maintenance",17276.215686567
"Wayne","Detroit","Auto SOV","Visiting",4804.58228701
"Detroit","Wayne","Auto SOV","Visiting",5007.707836586
"Detroit","Detroit","Auto 3+ Person","Escort",103549.764423592
"Detroit","Detroit","Auto 2 Person","Escort",48314.8469636652
"Detroit","Macomb","Auto SOV","Shop",3170.23506216572
"Macomb","Detroit","Auto SOV","Shop",1885.129854681
"Detroit","Detroit","Walk-Transit","University",11020.622863308
"Macomb","Oakland","Auto SOV","Discretionary",12065.595930674
"Oakland","Macomb","Auto SOV","Discretionary",10776.150122746
"Macomb","Oakland","Auto 2 Person","Eating Out",1739.982042491
"Oakland","Macomb","Auto 2 Person","Eating Out",1143.827233241
"Wayne","Wayne","Auto SOV","Escort",90535.98749179
"Wayne","Detroit","Auto 2 Person","Escort",10802.8393802185
"Detroit","Wayne","Auto SOV","Escort",8863.10932475
"Wayne","Detroit","Auto SOV","Escort",7406.053898487
"Detroit","Wayne","Auto 2 Person","Escort",11162.3855781445
"Wayne","Wayne","Walk","Escort",16103.162243092
"Wayne","Detroit","Auto 2 Person","Discretionary",11300.077320958
"Detroit","Wayne","Auto 2 Person","Discretionary",10152.244014018
"Macomb","Macomb","Walk","Discretionary",26929.9547778245
"Macomb","Macomb","Bike/Moped","Discretionary",6270.860783212
"Livingston","Wayne","Auto 2 Person","Escort",13.040776023
"Wayne","Oakland","Auto SOV","Escort",3434.5329738862
"St. Clair","Macomb","Auto SOV","Shop",1962.494390414
"Macomb","St. Clair","Auto SOV","Shop",1915.593196445
"Detroit","Detroit","Walk-Transit","Maintenance",29967.656425901
"Livingston","Washtenaw","Auto SOV","Eating Out",225.700033899
"Washtenaw","Livingston","Auto SOV","Eating Out",225.700033899
"Livingston","Livingston","Auto SOV","Eating Out",5356.8499763
"St. Clair","Macomb","Auto 3+ Person","Work",890.428829394
"Macomb","St. Clair","Auto 3+ Person","Work",979.187490558
"St. Clair","Macomb","Auto 3+ Person","Visiting",290.851945748
"Macomb","Macomb","Auto 2 Person","Visiting",28706.23826509
"Macomb","St. Clair","Auto 3+ Person","Visiting",58.8372689
"St. Clair","St. Clair","Auto 3+ Person","Visiting",4913.824543111
"Oakland","Oakland","Auto 3+ Person","Work",76895.559645159
"Livingston","Oakland","Auto 2 Person","Discretionary",1702.06317794
"Detroit","Macomb","Auto 2 Person","Work",9238.738763899
"Macomb","Detroit","Auto 2 Person","Work",8114.217376845
"Detroit","Macomb","Auto 2 Person","Escort",4734.7173793245
"Macomb","Macomb","Auto SOV","Escort",45242.240004057
"Macomb","Detroit","Auto SOV","Escort",3933.133802008
"Detroit","Macomb","Auto SOV","Escort",4132.81089118968
"Macomb","Detroit","Auto 2 Person","Escort",6197.0349255945
"Macomb","Macomb","Auto SOV","Shop",152816.012178444
"St. Clair","Macomb","Auto 3+ Person","Escort",2554.656137928
"St. Clair","St. Clair","Auto 3+ Person","Escort",17710.735131617
"St. Clair","St. Clair","Auto SOV","Escort",13140.6230072348
"St. Clair","Macomb","Auto 3+ Person","Shop",277.43477565
"Macomb","St. Clair","Auto 3+ Person","Shop",277.43477565
"Macomb","St. Clair","Auto 3+ Person","Escort",2654.56150464
"St. Clair","St. Clair","School Bus","School",18186.6211504998
"St. Clair","St. Clair","Auto 3+ Person","School",22070.263724348
"St. Clair","Macomb","Auto 3+ Person","School",1678.403391368
"Macomb","St. Clair","Auto 3+ Person","School",1916.403840672
"St. Clair","St. Clair","Auto SOV","School",2778.500021212
"St. Clair","St. Clair","Auto SOV","Discretionary",22707.6144544545
"St. Clair","St. Clair","Auto 2 Person","Escort",17377.299566719
"Livingston","Oakland","Auto SOV","Visiting",975.772515217
"Oakland","Washtenaw","Auto SOV","Visiting",208.330392109
"Washtenaw","Livingston","Auto SOV","Visiting",508.011424923
"Macomb","Wayne","Auto SOV","Work",22220.327794659
"Oakland","Oakland","Auto 2 Person","Escort",119160.636660758
"Macomb","Macomb","Auto 3+ Person","Shop",72119.090453125
"Macomb","Macomb","Auto 3+ Person","Escort",45390.1149180327
"Macomb","Macomb","Auto SOV","University",32670.928479185
"Macomb","Macomb","Auto 3+ Person","University",19289.605317008
"Macomb","Macomb","Auto 2 Person","University",15552.86094643
"Oakland","Livingston","Auto SOV","Work-based",300.038789837
"Macomb","Macomb","Auto 3+ Person","Maintenance",22445.900671208
"Macomb","Macomb","Auto 3+ Person","Visiting",39382.388874476
"Macomb","Macomb","Auto SOV","Visiting",45054.591033374
"Macomb","Macomb","Walk","Visiting",4038.360794276
"Detroit","Macomb","Auto 3+ Person","Work",3056.276624657
"Macomb","Detroit","Auto 3+ Person","Work",2996.357817849
"Macomb","Macomb","Auto SOV","School",15460.068960752
"Livingston","Oakland","Auto 2 Person","Visiting",827.478235311
"Oakland","Livingston","Auto 2 Person","Visiting",827.478235311
"Washtenaw","Washtenaw","Auto SOV","Visiting",16776.3081808229
"Wayne","Macomb","Auto 2 Person","Shop",4465.257734316
"Macomb","Wayne","Auto 2 Person","Shop",4839.978120129
"Wayne","Detroit","Auto 3+ Person","University",2207.3127741276
"Detroit","Wayne","Auto SOV","University",6129.975646275
"Detroit","Wayne","Auto 3+ Person","Work",2972.754785049
"Detroit","Wayne","Auto 3+ Person","University",1125.8075213276
"Livingston","Livingston","Auto SOV","Visiting",4208.27403645552
