LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK,TOD,NumCountsParent,NumCounts,SUT,MUT,PctSUT,PctMUT
488,1,63-5569,2019,13756,12918,838,299,523,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,500-999,200-499,500-999,NT,1,1,7.03814935064935,6.54962894248609,3.33296207315945e-05,2.19853342547089e-05
531,1,63-0341,2019,26445,25464,980,496,455,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,200-499,200-499,500-999,AM,1,1,96.7472527472527,75.2272727272727,0.000458153000204826,0.000252517623594026
531,1,63-0341,2019,26445,25464,980,496,455,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,200-499,200-499,500-999,MD,1,1,240.959706959707,212.727272727273,0.00114108059440686,0.000714067962791566
531,1,63-0341,2019,26445,25464,980,496,455,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,200-499,200-499,500-999,PM,1,1,100.608058608059,69.5454545454546,0.000476436101151967,0.000233445295528012
531,1,63-0341,2019,26445,25464,980,496,455,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,200-499,200-499,500-999,EV,1,1,14.989010989011,24.5454545454546,7.0981450735959e-05,8.23924572451807e-05
531,1,63-0341,2019,26445,25464,980,496,455,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,200-499,200-499,500-999,NT,1,1,42.6959706959707,72.9545454545455,0.000202189586944853,0.000244888692367621
533,1,63-5139,2019,22987,22554,433,299,75,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,200-499,200-499,AM,1,1,48.5,14.5,0.000229674950750114,4.86725812244679e-05
533,1,63-5139,2019,22987,22554,433,299,75,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,200-499,200-499,MD,1,1,148,39.5,0.00070086376723746,0.00013259082471493
533,1,63-5139,2019,22987,22554,433,299,75,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,200-499,200-499,PM,1,1,77.5,16,0.000367006364600697,5.37076758338956e-05
533,1,63-5139,2019,22987,22554,433,299,75,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,200-499,200-499,EV,1,1,10.5,3.5,4.97234429459009e-05,1.17485540886647e-05
533,1,63-5139,2019,22987,22554,433,299,75,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,200-499,200-499,NT,1,1,14.5,1.5,6.86657069252917e-05,5.03509460942771e-06
553,1,63-6041,2019,7627,7395,232,174,57,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,100-199,200-499,AM,1,1,48.0260115606937,19.2567567567568,0.000227430347214984,6.46397280940044e-05
553,1,63-6041,2019,7627,7395,232,174,57,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,100-199,200-499,MD,1,1,74.6791907514451,25.9324324324324,0.000353648236245289,8.70481671665926e-05
553,1,63-6041,2019,7627,7395,232,174,57,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,100-199,200-499,PM,1,1,33.6936416184971,9.24324324324324,0.00015955846349114,3.10270694851221e-05
553,1,63-6041,2019,7627,7395,232,174,57,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,100-199,200-499,EV,1,1,5.28034682080925,0.256756756756757,2.50054308456265e-05,8.61863041253392e-07
553,1,63-6041,2019,7627,7395,232,174,57,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,100-199,200-499,NT,1,1,12.3208092485549,2.31081081081081,5.83460053064617e-05,7.75676737128053e-06
556,0,63-5048,2019,1417,1381,21,26,8,5,Major Collector,4,Suburban,Other Road,3,Oakland,0-99,0-99,0-99,AM,1,1,7.09090909090909,0,3.35794679634655e-05,0
556,0,63-5048,2019,1417,1381,21,26,8,5,Major Collector,4,Suburban,Other Road,3,Oakland,0-99,0-99,0-99,MD,1,1,14.1818181818182,8,6.71589359269311e-05,2.68538379169478e-05
556,0,63-5048,2019,1417,1381,21,26,8,5,Major Collector,4,Suburban,Other Road,3,Oakland,0-99,0-99,0-99,PM,1,1,4.72727272727273,0,2.23863119756437e-05,0
556,0,63-5048,2019,1417,1381,21,26,8,5,Major Collector,4,Suburban,Other Road,3,Oakland,0-99,0-99,0-99,EV,1,1,0,0,0,0
556,0,63-5048,2019,1417,1381,21,26,8,5,Major Collector,4,Suburban,Other Road,3,Oakland,0-99,0-99,0-99,NT,1,1,0,0,0,0
564,1,63-4900,2019,17799,17182,617,315,192,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,AM,1,1,54.4668587896254,38.1276595744681,0.000257931404330322,0.000127984248795666
564,1,63-4900,2019,17799,17182,617,315,192,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,MD,1,1,149.78386167147,86.0141843971631,0.000709311361908384,0.000288726370794985
