TAZ,StationGroup,StationName,StationType,XI,IX,XIIX,ExtGen,ExtAttr,F_BUFFER_MI,F_BUFFER_OH,F_BUFFER_CAN,F_OTHER_MI,F_Mexico,F_US_Central,F_US_East,F_US_South,F_US_West,F_Canada_West,F_Canada_East,F_Canada_ON,F_Canada_QC,ExtLongHaul,ExtShortHaul
2877,Michigan,Other Road,Other Road,2.20000001043081,2.00010428577662,4.20010429620743,2.10005214810371,2.10005214810371,0.000507670413903484,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10005214810371
2878,Michigan,Other Road,Other Road,149.58854232356,151.664564274251,301.253106597811,150.626553298905,150.626553298905,0.0364127360966534,0,0,0,0,0,0,0,0,0,0,0,0,0,150.626553298905
2879,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880,Michigan,Other Road,Other Road,12.4558222144842,12.2357096150517,24.691531829536,12.345765914768,12.345765914768,0.00298448783644027,0,0,0,0,0,0,0,0,0,0,0,0,0,12.345765914768
2881,Michigan,Other Road,Other Road,200.387547124177,200.596414897591,400.983962021768,200.491981010884,200.491981010884,0.0484672950031421,0,0,0,0,0,0,0,0,0,0,0,0,0,200.491981010884
2882,Michigan,Other Road,Other Road,5.14633743464947,4.72915360331535,9.87549103796482,4.93774551898241,4.93774551898241,0.00119365955442363,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93774551898241
2883,Michigan,Other Road,Other Road,13.1275060623884,13.2162234336138,26.3437294960022,13.1718647480011,13.1718647480011,0.00318419046619226,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1718647480011
2884,Michigan,Other Road,Other Road,1.40625,1.40625,2.8125,1.40625,1.40625,0.000339949424682818,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40625
2885,Michigan,I-69 W,Major Highway,461.050910659134,464.431692391634,925.482603050768,462.741301525384,462.741301525384,0.0310418857332431,0,0,0.0565713430547731,0,0,0,0,0,0,0,0,0,334.332048139819,128.409253385565
2886,Michigan,Other Road,Other Road,28.0099909901619,25.3796157836914,53.3896067738533,26.6948033869267,26.6948033869267,0.00645325017131141,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6948033869267
2887,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889,Michigan,Other Road,Other Road,1.03182107582688,0.9894581399858,2.02127921581268,1.01063960790634,1.01063960790634,0.000244313851213817,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01063960790634
2890,Michigan,Other Road,Other Road,1.42539191991091,1.40016454458237,2.82555646449327,1.41277823224664,1.41277823224664,0.000341527571382509,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41277823224664
2891,Michigan,Other Road,Other Road,31.6468252874911,30.9532210510224,62.6000463385135,31.3000231692568,31.3000231692568,0.00756652435125171,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3000231692568
2892,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893,Michigan,Other Road,Other Road,1.22946283221245,1.20052798092365,2.4299908131361,1.21499540656805,1.21499540656805,0.000293715192501387,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21499540656805
2894,Michigan,Other Road,Other Road,39.48978112638,38.9203216135502,78.4101027399302,39.2050513699651,39.2050513699651,0.00947750020115909,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2050513699651
2895,Michigan,Other Road,Other Road,56.3777397815138,46.7096681296825,103.087407911196,51.5437039555982,51.5437039555982,0.0124602684485171,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5437039555982
2896,Ontario,Blue Water Bridge,International Crossing,873.549066351727,813.7244526539,1687.27351900563,843.636759502813,843.636759502813,0,0,0,0,0,0,0,0,0,0,0.661146392641229,0.661146392641229,0.661146392641229,843.636759502813,0
2897,Ontario,Detroit Windsor Tunnel,International Crossing,28.0363471582532,30.7606329470873,58.7969801053405,29.3984900526702,29.3984900526702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3984900526702
2898,Ontario,Ambassador Bridge,International Crossing,1410.05524422787,1429.55852136016,2839.61376558803,1419.80688279402,1419.80688279402,0,0,1.69767960622484,0,0,0,0,0,0,0,1.03653321358362,1.03653321358362,1.03653321358362,1322.63827067305,97.1686121209664
2899,Ontario,Gordie Howe International Bridge,International Crossing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
