GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26021020300,26021020300,Census Tract 203, Berrien County, Michigan,1108,26,209,541,241,91
1400000US26021020400,26021020400,Census Tract 204, Berrien County, Michigan,1504,77,307,664,292,164
1400000US26021020500,26021020500,Census Tract 205, Berrien County, Michigan,1193,204,620,298,53,18
1400000US26021020600,26021020600,Census Tract 206, Berrien County, Michigan,1407,112,613,516,135,31
1400000US26021020700,26021020700,Census Tract 207, Berrien County, Michigan,1214,268,385,471,47,43
1400000US26021020900,26021020900,Census Tract 209, Berrien County, Michigan,1411,140,677,439,86,69
1400000US26021021000,26021021000,Census Tract 210, Berrien County, Michigan,2006,44,740,930,176,116
1400000US26021021100,26021021100,Census Tract 211, Berrien County, Michigan,769,33,241,326,120,49
1400000US26021021200,26021021200,Census Tract 212, Berrien County, Michigan,669,56,280,239,56,38
1400000US26021021300,26021021300,Census Tract 213, Berrien County, Michigan,1124,83,489,416,108,28
1400000US26021021400,26021021400,Census Tract 214, Berrien County, Michigan,1444,99,541,406,240,158
1400000US26021990000,26021990000,Census Tract 9900, Berrien County, Michigan,0,0,0,0,0,0
1400000US26023950100,26023950100,Census Tract 9501, Branch County, Michigan,1505,60,433,616,297,99
1400000US26023950200,26023950200,Census Tract 9502, Branch County, Michigan,1389,30,486,612,210,51
1400000US26023950300,26023950300,Census Tract 9503, Branch County, Michigan,1489,36,386,692,236,139
1400000US26023950800,26023950800,Census Tract 9508, Branch County, Michigan,1505,195,385,586,209,130
1400000US26023950900,26023950900,Census Tract 9509, Branch County, Michigan,899,48,252,373,165,61
1400000US26023951000,26023951000,Census Tract 9510, Branch County, Michigan,1100,20,280,589,136,75
1400000US26023951100,26023951100,Census Tract 9511, Branch County, Michigan,1289,28,330,591,249,91
1400000US26023951200,26023951200,Census Tract 9512, Branch County, Michigan,1673,102,585,634,257,95
1400000US26023951300,26023951300,Census Tract 9513, Branch County, Michigan,1405,65,509,608,177,46
1400000US26023951400,26023951400,Census Tract 9514, Branch County, Michigan,1515,157,521,602,171,64
1400000US26023951500,26023951500,Census Tract 9515, Branch County, Michigan,1221,67,521,477,135,21
1400000US26023951600,26023951600,Census Tract 9516, Branch County, Michigan,1425,207,652,450,93,23
1400000US26025000200,26025000200,Census Tract 2, Calhoun County, Michigan,1353,250,702,268,97,36
1400000US26025000300,26025000300,Census Tract 3, Calhoun County, Michigan,857,271,446,132,8,0
1400000US26025000500,26025000500,Census Tract 5, Calhoun County, Michigan,1061,130,491,343,77,20
1400000US26025000600,26025000600,Census Tract 6, Calhoun County, Michigan,963,180,506,201,62,14
1400000US26025000700,26025000700,Census Tract 7, Calhoun County, Michigan,905,50,494,281,70,10
1400000US26025000800,26025000800,Census Tract 8, Calhoun County, Michigan,1167,68,672,304,64,59
1400000US26025000900,26025000900,Census Tract 9, Calhoun County, Michigan,1497,243,506,504,222,22
1400000US26025001000,26025001000,Census Tract 10, Calhoun County, Michigan,1612,290,720,491,86,25
1400000US26025001100,26025001100,Census Tract 11, Calhoun County, Michigan,1826,365,741,597,96,27
1400000US26025001200,26025001200,Census Tract 12, Calhoun County, Michigan,1143,71,526,334,160,52
1400000US26025001300,26025001300,Census Tract 13, Calhoun County, Michigan,1527,165,673,561,110,18
1400000US26025001400,26025001400,Census Tract 14, Calhoun County, Michigan,1699,195,644,646,135,79
1400000US26025001500,26025001500,Census Tract 15, Calhoun County, Michigan,2131,85,593,795,419,239
1400000US26025001600,26025001600,Census Tract 16, Calhoun County, Michigan,1052,8,303,552,86,103
1400000US26025001700,26025001700,Census Tract 17, Calhoun County, Michigan,1761,81,593,774,211,102
1400000US26025001800,26025001800,Census Tract 18, Calhoun County, Michigan,2771,185,1252,894,392,48
1400000US26025001900,26025001900,Census Tract 19, Calhoun County, Michigan,1562,86,310,721,268,177
1400000US26025002000,26025002000,Census Tract 20, Calhoun County, Michigan,2340,137,799,1073,198,133
